,Diseases,Number of times a disease occurred in polygenic risk score's related articles
26317,ICD10 K81.1: Chronic cholecystitis,0
26318,Felt irritable or had angry outbursts in past month - Quite a bit (UKB data field 20494) (Gene-based burden),0
26319,ICD10 K82.4: Cholesterolosis of gallbladder,0
26320,Felt loved as a child - Never true (UKB data field 20489) (Gene-based burden),0
26321,ICD10 R47.0: Dysphasia and aphasia,0
26322,ICD10 E61: Deficiency of other nutrient elements (Gene-based burden),0
26323,"ICD10 G81.9: Hemiplegia, unspecified",0
26324,ICD10 E66: Overweight and obesity (Gene-based burden),0
26325,ICD10 K41: Femoral hernia,0
26326,ICD10 E66.8: Other obesity (Gene-based burden),0
26327,"ICD10 R22.4: Localized swelling, mass and lump, lower limb",0
26328,"ICD10 E66.9: Obesity, unspecified (Gene-based burden)",0
26329,ICD10 D04: Carcinoma in situ of skin,0
26330,ICD10 E78: Disorders of lipoprotein metabolism and other lipidemias (Gene-based burden),0
26331,ICD10 S00.8: Superficial injury of other parts of head,0
26332,ICD10 E78.0: Pure hypercholesterolemia (Gene-based burden),0
26333,ICD10 K56.6: Other and unspecified intestinal obstruction,0
26334,"ICD10 E78.00: Pure hypercholesterolemia, unspecified (Gene-based burden)",0
26335,"ICD10 T81.815.013.: Other complications of procedures, not elsewhere classified",0
26336,"ICD10 E78.5: Hyperlipidemia, unspecified (Gene-based burden)",0
26337,"ICD10 S66: Injury of muscle, fascia and tendon at wrist and hand level",0
26338,ICD10 E80: Disorders of porphyrin and bilirubin metabolism (Gene-based burden),0
26339,"ICD10 N32.9: Bladder disorder, unspecified",0
26340,ICD10 E83: Disorders of mineral metabolism (Gene-based burden),0
26341,ICD10 M80: Osteoporosis with current pathological fracture,0
26342,ICD10 E83.4: Disorders of magnesium metabolism (Gene-based burden),0
26343,ICD10 E83.5: Disorders of calcium metabolism,0
26344,ICD10 E83.5: Disorders of calcium metabolism (Gene-based burden),0
26345,"ICD10 M65.9: Synovitis and tenosynovitis, unspecified",0
26346,"ICD10 F32: Major depressive disorder, single episode (Gene-based burden)",0
26347,ICD10 K70: Alcoholic liver disease,0
26348,"ICD10 F32.9: Major depressive disorder, single episode, unspecified (Gene-based burden)",0
26349,ICD10 Z71.8: Other specified counseling,0
26350,"ICD10 F33: Major depressive disorder, recurrent (Gene-based burden)",0
26351,ICD10 D13: Benign neoplasm of other and ill-defined parts of digestive system,0
26352,ICD10 F40: Phobic anxiety disorders (Gene-based burden),0
26353,ICD10 I35.1: Nonrheumatic aortic (valve) insufficiency,0
26354,ICD10 F40.2: Specific (isolated) phobias (Gene-based burden),0
26355,ICD10 L89: Pressure ulcer,0
26356,ICD10 F41: Other anxiety disorders (Gene-based burden),0
26357,ICD10 M11: Other crystal arthropathies,0
26358,ICD10 F41.0: Panic disorder [episodic paroxysmal anxiety] (Gene-based burden),0
26359,ICD10 N19: Unspecified kidney failure,0
26360,ICD10 F41.1: Generalized anxiety disorder (Gene-based burden),0
26361,ICD10 K62.8: Other specified diseases of anus and rectum,0
26362,ICD10 F41.2: Mixed anxiety and depressive disorder (Gene-based burden),0
26363,ICD10 Q21: Congenital malformations of cardiac septa,0
26364,"ICD10 F41.9: Anxiety disorder, unspecified (Gene-based burden)",0
26365,ICD10 F40.2: Specific (isolated) phobias,0
26366,"ICD10 F43: Reaction to severe stress, and adjustment disorders (Gene-based burden)",0
26367,ICD10 I42: Cardiomyopathy,0
26368,ICD10 F45: Somatoform disorders (Gene-based burden),0
26369,ICD10 L27: Dermatitis due to substances taken internally,0
26370,ICD10 F52: Sexual dysfunction not due to a substance or known physiological condition (Gene-based burden),0
26371,ICD10 E86: Volume depletion (Gene-based burden),0
26372,ICD10 H53.0: Amblyopia ex anopsia,0
26373,"ICD10 E87: Other disorders of fluid, electrolyte and acid-base balance (Gene-based burden)",0
26374,ICD10 D61: Other aplastic anemias and other bone marrow failure syndromes,0
26375,ICD10 E87.1: Hypo-osmolality and hyponatremia (Gene-based burden),0
26376,ICD10 E87.5: Hyperkalemia,0
26377,ICD10 E87.2: Acidosis (Gene-based burden),0
26378,ICD10 F03: Unspecified dementia,0
26379,ICD10 E87.5: Hyperkalemia (Gene-based burden),0
26380,ICD10 K13.7: Other and unspecified lesions of oral mucosa,0
26381,ICD10 E87.6: Hypokalemia (Gene-based burden),0
26382,ICD10 S82.3: Fracture of lower end of tibia,0
26383,ICD10 E87.7: Fluid overload (Gene-based burden),0
26384,ICD10 R07.2: Precordial pain,0
26385,ICD10 E88: Other and unspecified metabolic disorders (Gene-based burden),0
26386,ICD10 E14: Unspecified diabetes mellitus,0
26387,"ICD10 E89: Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified (Gene-based burden)",0
26388,ICD10 F31: Bipolar disorder,0
26389,ICD10 E89.0: Postprocedural hypothyroidism (Gene-based burden),0
26390,"ICD10 T40.2: Poisoning by, adverse effect of and underdosing of other opioids",0
26391,ICD10 F00: Dementia in Alzheimer's disease (Gene-based burden),0
26392,ICD10 D50.0: Iron deficiency anemia secondary to blood loss (chronic),0
26393,ICD10 F03: Unspecified dementia (Gene-based burden),0
26394,ICD10 K65: Peritonitis,0
26395,ICD10 F05: Delirium due to known physiological condition (Gene-based burden),0
26396,Family history of IBS (UKB data field 21065) (Gene-based burden),0
26397,"ICD10 K35.9: Acute appendicitis, unspecified",0
26398,Family relationship satisfaction - Extremely happy (UKB data field 4559) (Gene-based burden),0
26399,"ICD10 K41.9: Unilateral femoral hernia, without obstruction or gangrene",0
26400,Family relationship satisfaction - Extremely unhappy (UKB data field 4559) (Gene-based burden),0
26401,ICD10 K43.9: Ventral hernia without obstruction or gangrene,0
26402,Family relationship satisfaction - Moderately happy (UKB data field 4559) (Gene-based burden),0
26403,ICD10 K50.1: Crohn's disease of large intestine,0
26404,Family relationship satisfaction - Moderately unhappy (UKB data field 4559) (Gene-based burden),0
26405,"ICD10 K51.9: Ulcerative colitis, unspecified",0
26406,Family relationship satisfaction - Very happy (UKB data field 4559) (Gene-based burden),0
26407,ICD10 K52.8: Other specified noninfective gastroenteritis and colitis,0
26408,Family relationship satisfaction - Very unhappy (UKB data field 4559) (Gene-based burden),0
26409,ICD10 K56.5: Intestinal adhesions [bands] with obstruction (postinfection),0
26410,Father still alive (UKB data field 1797) (Gene-based burden),0
26411,ICD10 K58.0: Irritable bowel syndrome with diarrhea,0
26412,Paternal age (UKB data field 2946) (Gene-based burden),0
26413,ICD10 K58.9: Irritable bowel syndrome without diarrhea,0
26414,Paternal age at death (UKB data field 1807) (Gene-based burden),0
26415,ICD10 K60.1: Chronic anal fissure,0
26416,Fed up feelings (UKB data field 1960) (Gene-based burden),0
26417,"ICD10 K60.2: Anal fissure, unspecified",0
26418,Feelings of tiredness during worst episode of depression (UKB data field 20449) (Gene-based burden),0
26419,ICD10 K60.3: Anal fistula,0
26420,Feelings of worthlessness during worst period of depression (UKB data field 20450) (Gene-based burden),0
26421,ICD10 G56: Mononeuropathies of upper limb (Gene-based burden),0
26422,ICD10 Z88.6: Allergy status to analgesic agent status,0
26423,ICD10 G56.0: Carpal tunnel syndrome (Gene-based burden),0
26424,"ICD10 J90: Pleural effusion, not elsewhere classified",0
26425,ICD10 G56.2: Lesion of ulnar nerve (Gene-based burden),0
26426,"ICD10 K81.9: Cholecystitis, unspecified",0
26427,ICD10 G57: Mononeuropathies of lower limb (Gene-based burden),0
26428,ICD10 Z02.8: Encounter for other administrative examinations,0
26429,ICD10 G57.6: Lesion of plantar nerve (Gene-based burden),0
26430,"ICD10 R16: Hepatomegaly and splenomegaly, not elsewhere classified",0
26431,ICD10 G62: Other and unspecified polyneuropathies (Gene-based burden),0
26432,"ICD10 E16.2: Hypoglycemia, unspecified",0
26433,"ICD10 G62.9: Polyneuropathy, unspecified (Gene-based burden)",0
26434,"ICD10 T79: Certain early complications of trauma, not elsewhere classified",0
26435,ICD10 G63: Polyneuropathy in diseases classified elsewhere (Gene-based burden),0
26436,ICD10 G95: Other and unspecified diseases of spinal cord,0
26437,ICD10 G63.2: Diabetic polyneuropathy (Gene-based burden),0
26438,ICD10 J92: Pleural plaque,0
26439,ICD10 G81: Hemiplegia and hemiparesis (Gene-based burden),0
26440,ICD10 G20: Parkinson's disease,0
26441,"ICD10 G81.9: Hemiplegia, unspecified (Gene-based burden)",0
26442,ICD10 S51: Open wound of elbow and forearm,0
26443,ICD10 G83: Other paralytic syndromes (Gene-based burden),0
26444,ICD10 Z41.1: Encounter for cosmetic surgery,0
26445,ICD10 G91: Hydrocephalus (Gene-based burden),0
26446,Cognitive function - FI1 numeric addition test - 16 (20165) (Gene-based burden),0
26447,"ICD10 M13.94: Arthritis, unspecified",0
26448,Cognitive function - FI1 numeric addition test - 13 (4935) (Gene-based burden),0
26449,"ICD10 M13.96: Arthritis, unspecified",0
26450,Cognitive function - FI1 numeric addition test - 14 (4935) (Gene-based burden),0
26451,"ICD10 M13.97: Arthritis, unspecified",0
26452,Cognitive function - FI1 numeric addition test - 15 (4935) (Gene-based burden),0
26453,"ICD10 M13.99: Arthritis, unspecified",0
26454,Cognitive function - FI1 numeric addition test - 16 (4935) (Gene-based burden),0
26455,ICD10 M15.0: Primary generalized (osteo)arthritis,0
26456,Cognitive function - FI1 numeric addition test - 17 (4935) (Gene-based burden),0
26457,ICD10 M16.0: Bilateral primary osteoarthritis of hip,0
26458,Cognitive function - FI10 arithmetic sequence recognition - 92 (UKB data field 20183) (Gene-based burden),0
26459,ICD10 M16.1: Unilateral primary osteoarthritis of hip,0
26460,Cognitive function - FI10 arithmetic sequence recognition - 93 (UKB data field 20183) (Gene-based burden),0
26461,"ICD10 M16.9: Osteoarthritis of hip, unspecified",0
26462,Cognitive function - FI10 arithmetic sequence recognition - 94 (UKB data field 20183) (Gene-based burden),0
26463,ICD10 M17.0: Bilateral primary osteoarthritis of knee,0
26464,Cognitive function - FI10 arithmetic sequence recognition - 95 (UKB data field 20183) (Gene-based burden),0
26465,"ICD10 M18.9: Osteoarthritis of first carpometacarpal joint, unspecified",0
26466,Cognitive function - FI10 arithmetic sequence recognition - 96 (UKB data field 20183) (Gene-based burden),0
26467,"ICD10 M19.91: Primary osteoarthritis, unspecified site",0
26468,ICD10 G99: Other disorders of nervous system in diseases classified elsewhere (Gene-based burden),0
26469,"ICD10 R41.0: Disorientation, unspecified",0
26470,ICD10 G99.2: Myelopathy in diseases classified elsewhere (Gene-based burden),0
26471,ICD10 K08: Other disorders of teeth and supporting structures,0
26472,ICD10 K11: Diseases of salivary glands (Gene-based burden),0
26473,ICD10 P29: Cardiovascular disorders originating in the perinatal period,0
26474,ICD10 K12: Stomatitis and related lesions (Gene-based burden),0
26475,ICD10 Z86.69: Personal history of other diseases of the nervous system and sense organs,0
26476,ICD10 K12.1: Other forms of stomatitis (Gene-based burden),0
26477,ICD10 R01: Cardiac murmurs and other cardiac sounds,0
26478,ICD10 K13: Other diseases of lip and oral mucosa (Gene-based burden),0
26479,ICD10 J39: Other diseases of upper respiratory tract,0
26480,ICD10 K13.0: Diseases of lips (Gene-based burden),0
26481,Type 2 diabetes New,0
26482,ICD10 K13.7: Other and unspecified lesions of oral mucosa (Gene-based burden),0
26483,"ICD10 R19.0: Intra-abdominal and pelvic swelling, mass and lump",0
26484,ICD10 K14: Diseases of tongue (Gene-based burden),0
26485,ICD10 Z88.0: Allergy status to penicillin,0
26486,ICD10 K14.8: Other diseases of tongue (Gene-based burden),0
26487,ICD10 M06: Other rheumatoid arthritis,0
26488,ICD10 K20: Esophagitis (Gene-based burden),0
26489,"ICD10 S22: Fracture of rib(s), sternum and thoracic spine",0
26490,ICD10 K21: Gastro-esophageal reflux disease (Gene-based burden),0
26491,ICD10 L90: Atrophic disorders of skin,0
26492,ICD10 K21.0: Gastro-esophageal reflux disease with esophagitis (Gene-based burden),0
26493,ICD10 H52: Disorders of refraction and accommodation,0
26494,ICD10 K21.9: Gastro-esophageal reflux disease without esophagitis (Gene-based burden),0
26495,ICD10 R63.4: Abnormal weight loss,0
26496,ICD10 K11: Diseases of salivary glands,0
26497,ICD10 K29.1: Other acute gastritis (Gene-based burden),0
26498,ICD10 R80: Proteinuria,0
26499,ICD10 K29.5: Unspecified chronic gastritis (Gene-based burden),0
26500,ICD10 K22: Other diseases of esophagus,0
26501,ICD10 K29.6: Other gastritis (Gene-based burden),0
26502,ICD10 G57: Mononeuropathies of lower limb,0
26503,"ICD10 K29.7: Gastritis, unspecified (Gene-based burden)",0
26504,ICD10 Z53.0: Procedure and treatment not carried out because of contraindication,0
26505,"ICD10 K29.70: Gastritis, unspecified, without bleeding (Gene-based burden)",0
26506,ICD10 M71: Other bursopathies,0
26507,ICD10 K29.8: Duodenitis (Gene-based burden),0
26508,ICD10 K26: Duodenal ulcer,0
26509,ICD10 K30: Functional dyspepsia (Gene-based burden),0
26510,ICD10 R93.1: Abnormal findings on diagnostic imaging of heart and coronary circulation,0
26511,ICD10 K31: Other diseases of stomach and duodenum (Gene-based burden),0
26512,ICD10 S92.30: Fracture of unspecified metatarsal bone(s),0
26513,ICD10 K31.7: Polyp of stomach and duodenum (Gene-based burden),0
26514,ICD10 Z73: Problems related to life management difficulty,0
26515,ICD10 K31.8: Other specified diseases of stomach and duodenum (Gene-based burden),0
26516,ICD10 Z86.1: Personal history of infectious and parasitic diseases,0
26517,"ICD10 K31.9: Disease of stomach and duodenum, unspecified (Gene-based burden)",0
26518,"ICD10 J03.9: Acute tonsillitis, unspecified",0
26519,ICD10 K35: Acute appendicitis (Gene-based burden),0
26520,ICD10 E11.319.: Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema,0
26521,"ICD10 S60: Superficial injury of wrist, hand and fingers",0
26522,ICD10 J93: Pneumothorax and air leak (Gene-based burden),0
26523,ICD10 J44: Other chronic obstructive pulmonary disease,0
26524,"ICD10 J93.9: Pneumothorax, unspecified (Gene-based burden)",0
26525,"ICD10 I25.9: Chronic ischemic heart disease, unspecified",0
26526,"ICD10 J95: Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified (Gene-based burden)",0
26527,ICD10 I95: Hypotension,0
26528,"ICD10 J96: Respiratory failure, not elsewhere classified (Gene-based burden)",0
26529,ICD10 L43: Lichen planus,0
26530,ICD10 J96.0: Acute respiratory failure (Gene-based burden),0
26531,ICD10 N32: Other disorders of bladder,0
26532,"ICD10 J96.9: Respiratory failure, unspecified (Gene-based burden)",0
26533,ICD10 K44.9: Diaphragmatic hernia without obstruction or gangrene,0
26534,ICD10 J98.1: Pulmonary collapse (Gene-based burden),0
26535,ICD10 H16: Keratitis,0
26536,ICD10 J98.4: Other disorders of lung (Gene-based burden),0
26537,ICD10 M79.8: Other specified soft tissue disorders,0
26538,ICD10 J98.457.6: Other disorders of lung (Gene-based burden),0
26539,ICD10 K12.1: Other forms of stomatitis,0
26540,"ICD10 J98.9: Respiratory disorder, unspecified (Gene-based burden)",0
26541,ICD10 M23: Internal derangement of knee,0
26542,ICD10 K01: Embedded and impacted teeth (Gene-based burden),0
26543,"ICD10 F33: Major depressive disorder, recurrent",0
26544,ICD10 K01.1: Impacted teeth (Gene-based burden),0
26545,ICD10 S80: Superficial injury of knee and lower leg,0
26546,ICD10 K22: Other diseases of esophagus (Gene-based burden),0
26547,"ICD10 J06.9: Acute upper respiratory infection, unspecified",0
26548,ICD10 N45: Orchitis and epididymitis (Gene-based burden),0
26549,ICD10 K59: Other functional intestinal disorders,0
26550,"ICD10 N45.9: Orchitis, epididymitis and epididymo-orchitis without abscess (Gene-based burden)",0
26551,ICD10 R10.9: Unspecified abdominal pain,0
26552,ICD10 N47: Disorders of prepuce (Gene-based burden),0
26553,"ICD10 M19.90: Unspecified osteoarthritis, unspecified site",0
26554,ICD10 N48: Other disorders of penis (Gene-based burden),0
26555,ICD10 Z56.8: Other problems related to employment,0
26556,ICD10 N48.1: Balanitis (Gene-based burden),0
26557,ICD10 Z56.89: Other problems related to employment,0
26558,ICD10 N48.6: Induration penis plastica (Gene-based burden),0
26559,ICD10 J20: Acute bronchitis,0
26560,ICD10 N48.8: Other specified disorders of penis (Gene-based burden),0
26561,ICD10 R35: Polyuria,0
26562,ICD10 N50: Other and unspecified disorders of male genital organs (Gene-based burden),0
26563,ICD10 R09.8: Other specified symptoms and signs involving the circulatory and respiratory systems,0
26564,ICD10 N50.1: Vascular disorders of male genital organs (Gene-based burden),0
26565,ICD10 K62: Other diseases of anus and rectum,0
26566,ICD10 N50.8: Other specified disorders of male genital organs (Gene-based burden),0
26567,Alcohol liver disease - composite,0
26568,ICD10 N50.89: Other specified disorders of the male genital organs (Gene-based burden),0
26569,"ICD10 R53.82: Chronic fatigue, unspecified",0
26570,ICD10 N52: Male erectile dysfunction (Gene-based burden),0
26571,"ICD10 Z01: Encounter for other special examination without complaint, suspected or reported diagnosis",0
26572,"ICD10 N52.9: Male erectile dysfunction, unspecified (Gene-based burden)",0
26573,ICD10 B07: Viral warts,0
26574,ICD10 N60: Benign mammary dysplasia (Gene-based burden),0
26575,Non-alcoholic fatty liver disease - Cirrhosis,0
26576,ICD10 N61: Inflammatory disorders of breast (Gene-based burden),0
26577,ICD10 L72: Follicular cysts of skin and subcutaneous tissue,0
26578,ICD10 N62: Hypertrophy of breast (Gene-based burden),0
26579,ICD10 M54.2: Cervicalgia,0
26580,ICD10 N63: Unspecified lump in breast (Gene-based burden),0
26581,ICD10 D23: Other benign neoplasms of skin,0
26582,ICD10 N70: Salpingitis and oophoritis (Gene-based burden),0
26583,ICD10 Z72.0: Tobacco use,0
26584,ICD10 N72: Inflammatory disease of cervix uteri (Gene-based burden),0
26585,ICD10 R07.89: Other chest pain,0
26586,ICD10 N73: Other female pelvic inflammatory diseases (Gene-based burden),0
26587,ICD10 R39: Other and unspecified symptoms and signs involving the genitourinary system,0
26588,ICD10 N73.6: Female pelvic peritoneal adhesions (postinfective) (Gene-based burden),0
26589,"ICD10 Z88.9: Allergy status to unspecified drugs, medicaments and biological substances status",0
26590,ICD10 N75: Diseases of Bartholin's gland (Gene-based burden),0
26591,ICD10 J32: Chronic sinusitis,0
26592,ICD10 N76: Other inflammation of vagina and vulva (Gene-based burden),0
26593,ICD10 K21: Gastro-esophageal reflux disease,0
26594,ICD10 N80: Endometriosis (Gene-based burden),0
26595,"ICD10 D18: Hemangioma and lymphangioma, any site",0
26596,ICD10 L08.89: Other specified local infections of the skin and subcutaneous tissue,0
26597,ICD10 Z83: Family history of other specific disorders,0
26598,ICD10 N80.0: Endometriosis of uterus (Gene-based burden),0
26599,ICD10 B34: Viral infection of unspecified site,0
26600,ICD10 N80.1: Endometriosis of ovary (Gene-based burden),0
26601,Venous thromboembolism / Pulmonary embolism,0
26602,ICD10 N80.3: Endometriosis of pelvic peritoneum (Gene-based burden),0
26603,Asthma strict,0
26604,"ICD10 N80.9: Endometriosis, unspecified (Gene-based burden)",0
26605,ICD10 N81: Female genital prolapse (Gene-based burden),0
26606,ICD10 R94: Abnormal results of function studies,0
26607,ICD10 N81.1: Cystocele (Gene-based burden),0
26608,ICD10 M72: Fibroblastic disorders,0
26609,ICD10 N81.2: Incomplete uterovaginal prolapse (Gene-based burden),0
26610,"ICD10 Z88: Allergy status to drugs, medicaments and biological substances",0
26611,"ICD10 N81.4: Uterovaginal prolapse, unspecified (Gene-based burden)",0
26612,ICD10 H57.9: Unspecified disorder of eye and adnexa,0
26613,ICD10 N81.5: Vaginal enterocele (Gene-based burden),0
26614,ICD10 R87.618.: Other abnormal cytological findings on specimens from cervix uteri,0
26615,ICD10 N81.6: Rectocele (Gene-based burden),0
26616,ICD10 B02: Zoster [herpes zoster],0
26617,"ICD10 N83: Noninflammatory disorders of ovary, fallopian tube and broad ligament (Gene-based burden)",0
26618,ICD10 Z71.2: Person consulting for explanation of examination or test findings,0
26619,ICD10 N83.0: Follicular cyst of ovary (Gene-based burden),0
26620,ICD10 K22.1: Ulcer of esophagus (Gene-based burden),0
26621,ICD10 J45.901.: Unspecified asthma with (acute) exacerbation,0
26622,ICD10 K22.2: Esophageal obstruction (Gene-based burden),0
26623,ICD10 S52.50: Unspecified fracture of the lower end of radius,0
26624,ICD10 K22.4: Dyskinesia of esophagus (Gene-based burden),0
26625,ICD10 F40: Phobic anxiety disorders,0
26626,ICD10 K22.7: Barrett's esophagus (Gene-based burden),0
26627,ICD10 Y92: Place of occurrence of the external cause,0
26628,ICD10 K22.8: Other specified diseases of esophagus (Gene-based burden),0
26629,ICD10 Z80.3: Family history of malignant neoplasm of breast,0
26630,"ICD10 K22.9: Disease of esophagus, unspecified (Gene-based burden)",0
26631,ICD10 H54: Blindness and low vision,0
26632,ICD10 K25: Gastric ulcer (Gene-based burden),0
26633,"ICD10 R80.9: Proteinuria, unspecified",0
26634,"ICD10 K25.9: Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation (Gene-based burden)",0
26635,ICD10 S42.00: Fracture of unspecified part of clavicle,0
26636,ICD10 K26: Duodenal ulcer (Gene-based burden),0
26637,ICD10 J45.99: Other asthma,0
26638,"ICD10 K26.9: Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation (Gene-based burden)",0
26639,ICD10 J45.998.: Other asthma,0
26640,"ICD10 K27: Peptic ulcer, site unspecified (Gene-based burden)",0
26641,ICD10 I51: Complications and ill-defined descriptions of heart disease,0
26642,ICD10 K29: Gastritis and duodenitis (Gene-based burden),0
26643,ICD10 R73.01: Impaired fasting glucose,0
26644,ICD10 K29.0: Acute gastritis (Gene-based burden),0
26645,ICD10 K35.0: Acute appendicitis with generalized peritonitis (Gene-based burden),0
26646,ICD10 Z74.1: Need for assistance with personal care,0
26647,"ICD10 K35.9: Acute appendicitis, unspecified (Gene-based burden)",0
26648,ICD10 R63.8: Other symptoms and signs concerning food and fluid intake,0
26649,ICD10 K37: Unspecified appendicitis (Gene-based burden),0
26650,ICD10 S62.60: Fracture of unspecified phalanx of finger,0
26651,ICD10 K40: Inguinal hernia (Gene-based burden),0
26652,ICD10 E11.9: Type 2 diabetes mellitus without complications,0
26653,"ICD10 K40.2: Bilateral inguinal hernia, without obstruction or gangrene (Gene-based burden)",0
26654,ICD10 R31.2: Other microscopic hematuria,0
26655,"ICD10 K40.9: Unilateral inguinal hernia, without obstruction or gangrene (Gene-based burden)",0
26656,ICD10 R31.29: Other microscopic hematuria,0
26657,ICD10 K41: Femoral hernia (Gene-based burden),0
26658,ICD10 W54: Contact with dog,0
26659,"ICD10 K41.9: Unilateral femoral hernia, without obstruction or gangrene (Gene-based burden)",0
26660,ICD10 E11.31: Type 2 diabetes mellitus with unspecified diabetic retinopathy,0
26661,ICD10 K42: Umbilical hernia (Gene-based burden),0
26662,ICD10 K63: Other diseases of intestine,0
26663,ICD10 K42.9: Umbilical hernia without obstruction or gangrene (Gene-based burden),0
26664,ICD10 G25: Other extrapyramidal and movement disorders,0
26665,ICD10 K43: Ventral hernia (Gene-based burden),0
26666,ICD10 R20.8: Other disturbances of skin sensation,0
26667,ICD10 K43.9: Ventral hernia without obstruction or gangrene (Gene-based burden),0
26668,ICD10 G45: Transient cerebral ischemic attacks and related syndromes,0
26669,ICD10 K44: Diaphragmatic hernia (Gene-based burden),0
26670,ICD10 K02: Dental caries (Gene-based burden),0
26671,ICD10 S00: Superficial injury of head,0
26672,"ICD10 K02.9: Dental caries, unspecified (Gene-based burden)",0
26673,ICD10 K46: Unspecified abdominal hernia,0
26674,ICD10 K04: Diseases of pulp and periapical tissues (Gene-based burden),0
26675,"ICD10 L03.9: Cellulitis and acute lymphangitis, unspecified",0
26676,ICD10 K04.5: Chronic apical periodontitis (Gene-based burden),0
26677,ICD10 M19.0: Primary osteoarthritis of other joints,0
26678,ICD10 K04.7: Periapical abscess without sinus (Gene-based burden),0
26679,ICD10 M22: Disorder of patella,0
26680,ICD10 K05: Gingivitis and periodontal diseases (Gene-based burden),0
26681,ICD10 S42.3: Fracture of shaft of humerus,0
26682,ICD10 K05.3: Chronic periodontitis (Gene-based burden),0
26683,ICD10 R19.5: Other fecal abnormalities,0
26684,ICD10 K07: Dentofacial anomalies [including malocclusion] (Gene-based burden),0
26685,ICD10 S42.30: Unspecified fracture of shaft of humerus,0
26686,ICD10 K08: Other disorders of teeth and supporting structures (Gene-based burden),0
26687,ICD10 Z13.1: Encounter for screening for diabetes mellitus,0
26688,ICD10 K08.3: Retained dental root (Gene-based burden),0
26689,ICD10 Z86.6: Personal history of diseases of the nervous system and sense organs,0
26690,ICD10 K08.8: Other specified disorders of teeth and supporting structures (Gene-based burden),0
26691,ICD10 Z92.8: Personal history of other medical treatment,0
26692,"ICD10 K09: Cysts of oral region, not elsewhere classified (Gene-based burden)",0
26693,ICD10 Z13.10: Encounter for screening for diabetes mellitus,0
26694,ICD10 K10: Other diseases of jaws (Gene-based burden),0
26695,ICD10 N92.1: Excessive and frequent menstruation with irregular cycle,0
26696,Leg pain when walking normally (UKB data field 5485) (Gene-based burden),0
26697,ICD10 O70: Perineal laceration during delivery,0
26698,Leg pain when walking uphill or hurrying (UKB data field 5474) (Gene-based burden),0
26699,ICD10 O36: Maternal care for other fetal problems,0
26700,Leg predicted mass left (UKB data field 23118) (Gene-based burden),0
26701,ICD10 O26: Maternal care for other conditions predominantly related to pregnancy,0
26702,Leg predicted mass right (UKB data field 23114) (Gene-based burden),0
26703,ICD10 O13: Gestational [pregnancy-induced] hypertension without significant proteinuria,0
26704,Length of longest manic irritable episode - At least two days but less than a week (UKB data field 5663) (Gene-based burden),0
26705,"ICD10 O42.9: Premature rupture of membranes, unspecified as to length of time between rupture and onset of labor",0
26706,Length of longest manic irritable episode - Less than a week (UKB data field 5663) (Gene-based burden),0
26707,"ICD10 N80.9: Endometriosis, unspecified",0
26708,Length of longest manic irritable episode - A week or more (UKB data field 5663) (Gene-based burden),0
26709,"ICD10 D25.9: Leiomyoma of uterus, unspecified",0
26710,Less frequent bowel movements when abdominal discomfort pain started - 500 Never (UKB data field 21030) (Gene-based burden),0
26711,ICD10 O32: Maternal care for malpresentation of fetus,0
26712,Less frequent bowel movements when abdominal discomfort pain started - 501 Sometimes (UKB data field 21030) (Gene-based burden),0
26713,ICD10 C54: Malignant neoplasm of corpus uteri,0
26714,Less frequent bowel movements when abdominal discomfort pain started - 502 Often (UKB data field 21030) (Gene-based burden),0
26715,ICD10 C56: Malignant neoplasm of ovary,0
26716,Less frequent bowel movements when abdominal discomfort pain started - 503 Most of the time (UKB data field 21030) (Gene-based burden),0
26717,ICD10 N70: Salpingitis and oophoritis,0
26718,Less frequent bowel movements when abdominal discomfort pain started - 504 Always (UKB data field 21030) (Gene-based burden),0
26719,ICD10 O72: Postpartum hemorrhage,0
26720,Interpolated Age of participant when non cancer illness first diagnosed (UKB data field 20009) (Gene-based burden),0
26721,ICD10 O47.1: False labor at or after 37 completed weeks of gestation,0
26722,Interpolated Age of participant when operation took place (UKB data field 20011) (Gene-based burden),0
26723,ICD10 O72.1: Other immediate postpartum hemorrhage,0
26724,Interval between previous point and current one in alphanumeric path trail 2 (UKB data field 20155) (Gene-based burden),0
26725,ICD10 O80.0: Spontaneous vertex delivery,0
26726,Interval between previous point and current one in numeric path trail 1 (UKB data field 20149) (Gene-based burden),0
26727,ICD10 O63.1: Prolonged second stage (of labor),0
26728,Intraocular pressure corneal compensated left (UKB data field 5262) (Gene-based burden),0
26729,ICD10 C54.1: Malignant neoplasm of endometrium,0
26730,Intraocular pressure corneal compensated right (UKB data field 5254) (Gene-based burden),0
26732,Intraocular pressure Goldmann correlated left (UKB data field 5263) (Gene-based burden),0
26733,ICD10 Z35: Supervision of high-risk pregnancy,0
26734,Intraocular pressure Goldmann correlated right (UKB data field 5255) (Gene-based burden),0
26735,ICD10 O34.2: Maternal care due to uterine scar from previous surgery,0
26736,Physical activity group - high (UKB data field 22032) (Gene-based burden),0
